Name,TIME,IO
data023,2026-02-11 21:35:37.450,X
data023,2026-02-11 21:36:38.269,X
data023,2026-02-11 21:37:36.970,X
data023,2026-02-11 21:38:37.260,X
data023,2026-02-11 21:39:36.640,X
data023,2026-02-11 21:40:35.029,X
data023,2026-02-11 21:41:35.720,X
data023,2026-02-11 21:42:33.360,X
data023,2026-02-11 21:43:34.719,X
data023,2026-02-11 21:44:35.810,X
data023,2026-02-11 21:45:35.529,X
data023,2026-02-11 21:46:36.229,X
data023,2026-02-11 21:47:39.430,X
data023,2026-02-11 21:48:38.099,X
data023,2026-02-11 21:49:37.710,X
data023,2026-02-11 21:50:36.490,X
data023,2026-02-11 21:51:34.690,X
data023,2026-02-11 21:52:33.289,X
data023,2026-02-11 21:53:39.110,X
data023,2026-02-11 21:54:39.580,X
data023,2026-02-11 21:55:41.600,X
data023,2026-02-11 21:56:49.090,X
data023,2026-02-11 21:57:48.980,X
data023,2026-02-11 21:58:48.799,X
data023,2026-02-11 21:59:54.809,X
data023,2026-02-11 22:00:55.479,X
data023,2026-02-11 22:01:58.089,X
data023,2026-02-11 22:02:59.769,X
data023,2026-02-11 22:04:02.490,X
data023,2026-02-11 22:05:45.589,X
data023,2026-02-11 22:07:56.860,X
data023,2026-02-11 22:09:00.840,X
data023,2026-02-11 22:09:59.369,X
data023,2026-02-11 22:11:05.860,X
data023,2026-02-11 22:12:04.939,X
data023,2026-02-11 22:13:02.850,X
data023,2026-02-11 22:14:04.959,X
data023,2026-02-11 22:15:06.950,X
data023,2026-02-11 22:16:17.459,X
data023,2026-02-11 22:20:23.640,X
data023,2026-02-11 22:21:01.510,X
data023,2026-02-11 22:21:41.710,X
data023,2026-02-11 22:22:18.530,X
data023,2026-02-11 22:22:56.310,X
data023,2026-02-11 22:23:33.920,X
data023,2026-02-11 22:24:12.010,X
data023,2026-02-11 22:24:49.490,X
data023,2026-02-11 22:25:27.020,X
data023,2026-02-11 22:26:06.489,X
data023,2026-02-11 22:28:36.199,X
data023,2026-02-11 22:29:16.679,X
data023,2026-02-11 22:29:56.519,X
data023,2026-02-11 22:30:39.570,X
data023,2026-02-11 22:31:18.509,X
data023,2026-02-11 22:32:07.289,X
data023,2026-02-11 22:33:05.199,X
data023,2026-02-11 22:34:07.319,X
data023,2026-02-11 22:35:09.199,X
data023,2026-02-11 22:38:07.970,X
data023,2026-02-11 22:41:37.469,X
data023,2026-02-11 22:42:15.579,X
data023,2026-02-11 22:42:52.559,X
data023,2026-02-11 22:46:07.450,X
data023,2026-02-11 22:46:45.150,X
data023,2026-02-11 22:47:23.049,X
data023,2026-02-11 22:47:59.569,X
data023,2026-02-11 22:48:37.140,X
