CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
2C6550,2C,生産用機器,65,液晶実装工程,50,ソフト(液晶実装工程用),A
2C6590,2C,生産用機器,65,液晶実装工程,90,専用補修部品,A
2C6591,2C,生産用機器,65,液晶実装工程,91,移設・改造,A
2C6592,2C,生産用機器,65,液晶実装工程,92,修理・オ－バ－ホ－ル,A
2C6593,2C,生産用機器,65,液晶実装工程,93,二次側配線・配管,A
2C6599,2C,生産用機器,65,液晶実装工程,99,その他,A
2C6601,2C,生産用機器,66,液晶検査工程,01,本体,A
2C6650,2C,生産用機器,66,液晶検査工程,50,ソフト(液晶検査工程用),A
2C6690,2C,生産用機器,66,液晶検査工程,90,専用補修部品,A
2C6691,2C,生産用機器,66,液晶検査工程,91,移設・改造,A
2C6692,2C,生産用機器,66,液晶検査工程,92,修理・オ－バ－ホ－ル,A
2C6693,2C,生産用機器,66,液晶検査工程,93,二次側配線・配管,A
2C6699,2C,生産用機器,66,液晶検査工程,99,その他,A
2C6701,2C,生産用機器,67,回収・再生装置,01,本体,A
2C6750,2C,生産用機器,67,回収・再生装置,50,ソフト(回収・再生装置用),A
2C6790,2C,生産用機器,67,回収・再生装置,90,専用補修部品,A
2C6791,2C,生産用機器,67,回収・再生装置,91,移設・改造,A
2C6792,2C,生産用機器,67,回収・再生装置,92,修理・オ－バ－ホ－ル,A
2C6793,2C,生産用機器,67,回収・再生装置,93,二次側配線・配管,A
2C6799,2C,生産用機器,67,回収・再生装置,99,その他,A
2C6801,2C,生産用機器,68,純水製造装置,01,本体,A
2C6850,2C,生産用機器,68,純水製造装置,50,ソフト(純水製造装置用),A
2C6890,2C,生産用機器,68,純水製造装置,90,専用補修部品,A
2C6891,2C,生産用機器,68,純水製造装置,91,移設・改造,A
2C6892,2C,生産用機器,68,純水製造装置,92,修理・オ－バ－ホ－ル,A
2C6893,2C,生産用機器,68,純水製造装置,93,二次側配線・配管,A
2C6899,2C,生産用機器,68,純水製造装置,99,その他,A
2C6901,2C,生産用機器,69,設備用ボイラ,01,本体,A
2C6950,2C,生産用機器,69,設備用ボイラ,50,ソフト(設備用ボイラ用),A
2C6990,2C,生産用機器,69,設備用ボイラ,90,専用補修部品,A
2C6991,2C,生産用機器,69,設備用ボイラ,91,移設・改造,A
2C6992,2C,生産用機器,69,設備用ボイラ,92,修理・オ－バ－ホ－ル,A
2C6993,2C,生産用機器,69,設備用ボイラ,93,二次側配線・配管,A
2C6999,2C,生産用機器,69,設備用ボイラ,99,その他,A
2C7001,2C,生産用機器,70,チラー,01,本体,A
2C7050,2C,生産用機器,70,チラー,50,ソフト(チラー用),A
2C7090,2C,生産用機器,70,チラー,90,専用補修部品,A
2C7091,2C,生産用機器,70,チラー,91,移設・改造,A
2C7092,2C,生産用機器,70,チラー,92,修理・オ－バ－ホ－ル,A
2C7093,2C,生産用機器,70,チラー,93,二次側配線・配管,A
2C7099,2C,生産用機器,70,チラー,99,その他,A
2C9901,2C,生産用機器,99,その他,01,本体,A
2C9950,2C,生産用機器,99,その他,50,ソフト(生産用機器用),A
2C9990,2C,生産用機器,99,その他,90,専用補修部品,A
2C9991,2C,生産用機器,99,その他,91,移設・改造,A
2C9992,2C,生産用機器,99,その他,92,修理・オ－バ－ホ－ル,A
2C9993,2C,生産用機器,99,その他,93,二次側配線・配管,A
2C9999,2C,生産用機器,99,その他,99,その他,A
2D0101,2D,工作機械,01,旋盤,01,本体,A
2D0150,2D,工作機械,01,旋盤,50,ソフト(旋盤用),A
2D0190,2D,工作機械,01,旋盤,90,専用補修部品,A
2D0191,2D,工作機械,01,旋盤,91,移設・改造,A
2D0192,2D,工作機械,01,旋盤,92,修理・オ－バ－ホ－ル,A
2D0193,2D,工作機械,01,旋盤,93,二次側配線・配管,A
2D0199,2D,工作機械,01,旋盤,99,その他,A
2D0201,2D,工作機械,02,自動盤,01,本体（単軸自動盤）,A
